"","term","pos.neg"
"1","2-face","negative"
"3","abnorm","negative"
"5","abomin","negative"
"9","abort","negative"
"12","abrad","negative"
"13","abras","negative"
"14","abrupt","negative"
"16","abscond","negative"
"17","absenc","negative"
"18","absent-mind","negative"
"19","absente","negative"
"20","absurd","negative"
"24","abus","negative"
"30","abyss","negative"
"31","accident","negative"
"33","accurs","negative"
"34","accus","negative"
"40","acerb","negative"
"43","ach","negative"
"46","achey","negative"
"48","acrid","negative"
"51","acrimoni","negative"
"54","adam","negative"
"56","addict","negative"
"64","admonit","negative"
"65","adulter","negative"
"68","adulteri","negative"
"71","advers","negative"
"73","afflict","negative"
"76","affront","negative"
"77","afraid","negative"
"81","aggress","negative"
"84","aggressor","negative"
"85","aggriev","negative"
"87","aggriv","negative"
"88","aghast","negative"
"89","agoni","negative"
"90","agon","negative"
"94","aground","negative"
"95","ail","negative"
"97","ailment","negative"
"99","alarm","negative"
"103","alien","negative"
"106","alleg","negative"
"109","allerg","negative"
"110","allergi","negative"
"112","aloof","negative"
"116","ambival","negative"
"119","amiss","negative"
"120","amput","negative"
"121","anarch","negative"
"122","anarchist","negative"
"124","anarchi","negative"
"125","anem","negative"
"126","anger","negative"
"127","angrili","negative"
"128","angri","negative"
"130","anguish","negative"
"131","animos","negative"
"134","annoy","negative"
"141","anomal","negative"
"142","anomali","negative"
"143","antagon","negative"
"144","antagonist","negative"
"147","anti-","negative"
"148","anti-american","negative"
"149","anti-isra","negative"
"150","anti-occup","negative"
"151","anti-prolifer","negative"
"152","anti-semit","negative"
"153","anti-soci","negative"
"154","anti-us","negative"
"155","anti-whit","negative"
"156","antipathi","negative"
"159","anxieti","negative"
"161","anxious","negative"
"164","apathet","negative"
"166","apathi","negative"
"167","apocalyps","negative"
"168","apocalypt","negative"
"169","apologist","negative"
"171","appal","negative"
"176","apprehens","negative"
"181","arcan","negative"
"182","archaic","negative"
"183","arduous","negative"
"185","argument","negative"
"189","asham","negative"
"192","asininin","negative"
"193","askanc","negative"
"194","aspers","negative"
"197","assail","negative"
"198","assassin","negative"
"200","assault","negative"
"201","assult","negative"
"202","astray","negative"
"204","atroci","negative"
"205","atroc","negative"
"207","atrophi","negative"
"208","attack","negative"
"214","audici","negative"
"215","auster","negative"
"216","authoritarian","negative"
"217","autocrat","negative"
"219","avalanch","negative"
"220","avaric","negative"
"221","avarici","negative"
"227","aw","negative"
"230","awkward","negative"
"232","ax","negative"
"233","babbl","negative"
"234","back-log","negative"
"235","back-wood","negative"
"237","backach","negative"
"240","backbit","negative"
"244","backwood","negative"
"246","bad","negative"
"248","baffl","negative"
"250","bafflement","negative"
"253","balk","negative"
"256","bane","negative"
"257","banish","negative"
"259","bankrupt","negative"
"260","barbarian","negative"
"261","barbar","negative"
"266","barren","negative"
"267","baseless","negative"
"272","bastard","negative"
"277","bearish","negative"
"279","bedlam","negative"
"280","bedlamit","negative"
"282","beg","negative"
"283","beggar","negative"
"287","belabor","negative"
"288","belat","negative"
"289","beleagu","negative"
"290","beli","negative"
"291","belittl","negative"
"294","bellicos","negative"
"295","belliger","negative"
"298","bemoan","negative"
"300","bemus","negative"
"301","bent","negative"
"302","berat","negative"
"303","bereav","negative"
"305","bereft","negative"
"307","beseech","negative"
"308","beset","negative"
"309","besieg","negative"
"310","besmirch","negative"
"312","betray","negative"
"318","bewail","negative"
"319","bewar","negative"
"320","bewild","negative"
"324","bewilder","negative"
"326","bias","negative"
"329","bicker","negative"
"331","bid-rig","negative"
"332","bigotri","negative"
"334","bitch","negative"
"335","bitchi","negative"
"336","bite","negative"
"342","blab","negative"
"343","blabber","negative"
"344","blackmail","negative"
"345","blah","negative"
"346","blame","negative"
"347","blameworthi","negative"
"349","blandish","negative"
"352","blasphemi","negative"
"353","blast","negative"
"354","blatant","negative"
"356","blather","negative"
"357","bleak","negative"
"360","bleed","negative"
"363","blemish","negative"
"364","blind","negative"
"367","blindsid","negative"
"368","blister","negative"
"370","bloat","negative"
"371","blockag","negative"
"372","blockhead","negative"
"373","bloodsh","negative"
"374","bloodthirsti","negative"
"375","bloodi","negative"
"376","blotchi","negative"
"378","blunder","negative"
"381","blunt","negative"
"382","blur","negative"
"383","blure","negative"
"388","blurt","negative"
"390","boggl","negative"
"391","bogus","negative"
"394","boister","negative"
"395","bomb","negative"
"396","bombard","negative"
"399","bondag","negative"
"401","bore","negative"
"403","boredom","negative"
"406","botch","negative"
"407","bother","negative"
"411","bothersom","negative"
"412","bowdler","negative"
"413","boycott","negative"
"414","braggart","negative"
"415","bragger","negative"
"416","brainless","negative"
"417","brainwash","negative"
"418","brash","negative"
"421","brat","negative"
"422","bravado","negative"
"423","brazen","negative"
"426","breach","negative"
