number;term;freq;percentage;event;pos/neg
1;currenc;18;0.021634615;bannedFromCountry;positive
2;bank;17;0.020432692;bannedFromCountry;positive
3;exchang;15;0.018028846;bannedFromCountry;positive
4;price;15;0.018028846;bannedFromCountry;positive
5;trade;13;0.015625;bannedFromCountry;positive
6;digit;10;0.012019231;bannedFromCountry;positive
7;said;10;0.012019231;bannedFromCountry;positive
8;bitcoin;8;0.009615385;bannedFromCountry;positive
9;compani;8;0.009615385;bannedFromCountry;positive
10;peopl;8;0.009615385;bannedFromCountry;positive
11;china;7;0.008413462;bannedFromCountry;positive
12;chines;7;0.008413462;bannedFromCountry;positive
13;payment;7;0.008413462;bannedFromCountry;positive
14;central;6;0.007211538;bannedFromCountry;positive
15;financi;6;0.007211538;bannedFromCountry;positive
16;market;6;0.007211538;bannedFromCountry;positive
17;money;6;0.007211538;bannedFromCountry;positive
18;pboc;6;0.007211538;bannedFromCountry;positive
19;sourc;6;0.007211538;bannedFromCountry;positive
20;statement;6;0.007211538;bannedFromCountry;positive
21;valu;6;0.007211538;bannedFromCountry;positive
22;also;5;0.006009615;bannedFromCountry;positive
23;coindesk;5;0.006009615;bannedFromCountry;positive
24;institut;5;0.006009615;bannedFromCountry;positive
25;now;5;0.006009615;bannedFromCountry;positive
26;allow;4;0.004807692;bannedFromCountry;positive
27;author;4;0.004807692;bannedFromCountry;positive
28;clear;4;0.004807692;bannedFromCountry;positive
29;issu;4;0.004807692;bannedFromCountry;positive
30;launder;4;0.004807692;bannedFromCountry;positive
31;pleas;4;0.004807692;bannedFromCountry;positive
32;signific;4;0.004807692;bannedFromCountry;positive
33;thirdparti;4;0.004807692;bannedFromCountry;positive
34;write;4;0.004807692;bannedFromCountry;positive
35;zcash;4;0.004807692;bannedFromCountry;positive
36;abl;3;0.003605769;bannedFromCountry;positive
37;back;3;0.003605769;bannedFromCountry;positive
38;ban;3;0.003605769;bannedFromCountry;positive
39;becom;3;0.003605769;bannedFromCountry;positive
40;blockchain;3;0.003605769;bannedFromCountry;positive
41;deal;3;0.003605769;bannedFromCountry;positive
42;decemb;3;0.003605769;bannedFromCountry;positive
43;follow;3;0.003605769;bannedFromCountry;positive
44;global;3;0.003605769;bannedFromCountry;positive
45;good;3;0.003605769;bannedFromCountry;positive
46;just;3;0.003605769;bannedFromCountry;positive
47;legal;3;0.003605769;bannedFromCountry;positive
48;massiv;3;0.003605769;bannedFromCountry;positive
49;monetari;3;0.003605769;bannedFromCountry;positive
50;morn;3;0.003605769;bannedFromCountry;positive
51;new;3;0.003605769;bannedFromCountry;positive
52;oper;3;0.003605769;bannedFromCountry;positive
53;potenti;3;0.003605769;bannedFromCountry;positive
54;recent;3;0.003605769;bannedFromCountry;positive
55;repres;3;0.003605769;bannedFromCountry;positive
56;risk;3;0.003605769;bannedFromCountry;positive
57;say;3;0.003605769;bannedFromCountry;positive
58;sell;3;0.003605769;bannedFromCountry;positive
59;sever;3;0.003605769;bannedFromCountry;positive
60;still;3;0.003605769;bannedFromCountry;positive
61;term;3;0.003605769;bannedFromCountry;positive
62;this;3;0.003605769;bannedFromCountry;positive
63;time;3;0.003605769;bannedFromCountry;positive
64;use;3;0.003605769;bannedFromCountry;positive
65;volum;3;0.003605769;bannedFromCountry;positive
66;accord;2;0.002403846;bannedFromCountry;positive
67;although;2;0.002403846;bannedFromCountry;positive
68;articl;2;0.002403846;bannedFromCountry;positive
69;associ;2;0.002403846;bannedFromCountry;positive
70;base;2;0.002403846;bannedFromCountry;positive
71;busi;2;0.002403846;bannedFromCountry;positive
72;buy;2;0.002403846;bannedFromCountry;positive
73;chang;2;0.002403846;bannedFromCountry;positive
74;circul;2;0.002403846;bannedFromCountry;positive
75;claim;2;0.002403846;bannedFromCountry;positive
76;clast;2;0.002403846;bannedFromCountry;positive
77;cni;2;0.002403846;bannedFromCountry;positive
78;confirm;2;0.002403846;bannedFromCountry;positive
79;consid;2;0.002403846;bannedFromCountry;positive
80;crimin;2;0.002403846;bannedFromCountry;positive
81;cryptocurr;2;0.002403846;bannedFromCountry;positive
82;current;2;0.002403846;bannedFromCountry;positive
83;custom;2;0.002403846;bannedFromCountry;positive
84;day;2;0.002403846;bannedFromCountry;positive
85;didnt;2;0.002403846;bannedFromCountry;positive
86;discuss;2;0.002403846;bannedFromCountry;positive
87;drop;2;0.002403846;bannedFromCountry;positive
88;econom;2;0.002403846;bannedFromCountry;positive
89;effect;2;0.002403846;bannedFromCountry;positive
90;even;2;0.002403846;bannedFromCountry;positive
91;fee;2;0.002403846;bannedFromCountry;positive
92;first;2;0.002403846;bannedFromCountry;positive
93;fluctuat;2;0.002403846;bannedFromCountry;positive
94;fund;2;0.002403846;bannedFromCountry;positive
95;given;2;0.002403846;bannedFromCountry;positive
96;gmt;2;0.002403846;bannedFromCountry;positive
97;gox;2;0.002403846;bannedFromCountry;positive
98;happen;2;0.002403846;bannedFromCountry;positive
99;heavi;2;0.002403846;bannedFromCountry;positive
100;hong;2;0.002403846;bannedFromCountry;positive
101;exchang;54;0.018280298;hackedExchange;negative
102;report;28;0.009478673;hackedExchange;negative
103;fund;26;0.008801625;hackedExchange;negative
104;wallet;26;0.008801625;hackedExchange;negative
105;digit;25;0.008463101;hackedExchange;negative
106;attack;24;0.008124577;hackedExchange;negative
107;custom;24;0.008124577;hackedExchange;negative
108;hack;24;0.008124577;hackedExchange;negative
109;currenc;23;0.007786053;hackedExchange;negative
110;said;23;0.007786053;hackedExchange;negative
111;user;21;0.007109005;hackedExchange;negative
112;time;20;0.006770481;hackedExchange;negative
113;platform;19;0.006431957;hackedExchange;negative
114;accord;18;0.006093433;hackedExchange;negative
115;compani;18;0.006093433;hackedExchange;negative
116;servic;18;0.006093433;hackedExchange;negative
117;secur;17;0.005754909;hackedExchange;negative
118;follow;16;0.005416385;hackedExchange;negative
119;incid;16;0.005416385;hackedExchange;negative
120;investig;16;0.005416385;hackedExchange;negative
121;nxt;16;0.005416385;hackedExchange;negative
122;account;15;0.005077861;hackedExchange;negative
123;bitcoin;15;0.005077861;hackedExchange;negative
124;communiti;15;0.005077861;hackedExchange;negative
125;statement;15;0.005077861;hackedExchange;negative
126;file;14;0.004739336;hackedExchange;negative
127;one;14;0.004739336;hackedExchange;negative
128;repres;13;0.004400812;hackedExchange;negative
129;use;13;0.004400812;hackedExchange;negative
130;coindesk;12;0.004062288;hackedExchange;negative
131;pleas;12;0.004062288;hackedExchange;negative
132;stolen;12;0.004062288;hackedExchange;negative
133;bitgo;11;0.003723764;hackedExchange;negative
134;held;11;0.003723764;hackedExchange;negative
135;pln;11;0.003723764;hackedExchange;negative
136;poland;11;0.003723764;hackedExchange;negative
137;system;11;0.003723764;hackedExchange;negative
138;activ;10;0.00338524;hackedExchange;negative
139;loss;10;0.00338524;hackedExchange;negative
140;lost;10;0.00338524;hackedExchange;negative
141;offer;10;0.00338524;hackedExchange;negative
142;polish;10;0.00338524;hackedExchange;negative
143;seek;10;0.00338524;hackedExchange;negative
144;theft;10;0.00338524;hackedExchange;negative
145;trade;10;0.00338524;hackedExchange;negative
146;updat;10;0.00338524;hackedExchange;negative
147;base;9;0.003046716;hackedExchange;negative
148;bidextremepl;9;0.003046716;hackedExchange;negative
149;develop;9;0.003046716;hackedExchange;negative
150;hacker;9;0.003046716;hackedExchange;negative
151;inform;9;0.003046716;hackedExchange;negative
152;local;9;0.003046716;hackedExchange;negative
153;market;9;0.003046716;hackedExchange;negative
154;oper;9;0.003046716;hackedExchange;negative
155;provid;9;0.003046716;hackedExchange;negative
156;server;9;0.003046716;hackedExchange;negative
157;site;9;0.003046716;hackedExchange;negative
158;suggest;9;0.003046716;hackedExchange;negative
159;transact;9;0.003046716;hackedExchange;negative
160;articl;8;0.002708192;hackedExchange;negative
161;bter;8;0.002708192;hackedExchange;negative
162;deposit;8;0.002708192;hackedExchange;negative
163;hot;8;0.002708192;hackedExchange;negative
164;includ;8;0.002708192;hackedExchange;negative
165;like;8;0.002708192;hackedExchange;negative
166;press;8;0.002708192;hackedExchange;negative
167;price;8;0.002708192;hackedExchange;negative
168;state;8;0.002708192;hackedExchange;negative
169;team;8;0.002708192;hackedExchange;negative
170;valu;8;0.002708192;hackedExchange;negative
171;websit;8;0.002708192;hackedExchange;negative
172;work;8;0.002708192;hackedExchange;negative
173;also;7;0.002369668;hackedExchange;negative
174;block;7;0.002369668;hackedExchange;negative
175;breach;7;0.002369668;hackedExchange;negative
176;idea;7;0.002369668;hackedExchange;negative
177;interest;7;0.002369668;hackedExchange;negative
178;issu;7;0.002369668;hackedExchange;negative
179;key;7;0.002369668;hackedExchange;negative
180;major;7;0.002369668;hackedExchange;negative
181;may;7;0.002369668;hackedExchange;negative
182;novemb;7;0.002369668;hackedExchange;negative
183;offlin;7;0.002369668;hackedExchange;negative
184;place;7;0.002369668;hackedExchange;negative
185;prior;7;0.002369668;hackedExchange;negative
186;target;7;0.002369668;hackedExchange;negative
187;technolog;7;0.002369668;hackedExchange;negative
188;worth;7;0.002369668;hackedExchange;negative
189;access;6;0.002031144;hackedExchange;negative
190;announc;6;0.002031144;hackedExchange;negative
191;back;6;0.002031144;hackedExchange;negative
192;bitstamp;6;0.002031144;hackedExchange;negative
193;blockchain;6;0.002031144;hackedExchange;negative
194;clast;6;0.002031144;hackedExchange;negative
195;cold;6;0.002031144;hackedExchange;negative
196;compromis;6;0.002031144;hackedExchange;negative
197;contain;6;0.002031144;hackedExchange;negative
198;data;6;0.002031144;hackedExchange;negative
199;decemb;6;0.002031144;hackedExchange;negative
200;decis;6;0.002031144;hackedExchange;negative
201;price;81;0.019703235;halvingDay;positive
202;halv;76;0.018486986;halvingDay;positive
203;network;53;0.01289224;halvingDay;positive
204;miner;51;0.012405741;halvingDay;positive
205;mine;40;0.009729993;halvingDay;positive
206;bitcoin;39;0.009486743;halvingDay;positive
207;market;34;0.008270494;halvingDay;positive
208;drop;31;0.007540744;halvingDay;positive
209;new;30;0.007297495;halvingDay;positive
210;block;28;0.006810995;halvingDay;positive
211;event;26;0.006324495;halvingDay;positive
212;juli;26;0.006324495;halvingDay;positive
213;coindesk;23;0.005594746;halvingDay;positive
214;hashrat;23;0.005594746;halvingDay;positive
215;peercoin;23;0.005594746;halvingDay;positive
216;time;21;0.005108246;halvingDay;positive
217;increas;19;0.004621747;halvingDay;positive
218;said;19;0.004621747;halvingDay;positive
219;this;19;0.004621747;halvingDay;positive
220;month;17;0.004135247;halvingDay;positive
221;one;17;0.004135247;halvingDay;positive
222;chang;16;0.003891997;halvingDay;positive
223;day;16;0.003891997;halvingDay;positive
224;approxim;15;0.003648747;halvingDay;positive
225;currenc;15;0.003648747;halvingDay;positive
226;develop;15;0.003648747;halvingDay;positive
